av_depth,max_depth,min_depth,num_acl,num_rel_cl,num_advcl,num_sent,num_tok,av_tok_before_root,av_len_sent,num_cl,num_tu,num_compl_tu,num_coord,num_poss,num_prep,num_adj_noun,num_part_noun,num_noun_inf,pos_sim_nei,pos_sim_all,lemma_sim_all,lemma_sim_nei,density,ls,corrected_vs,lfp_1000,lfp_2000,lfp_uwl,lfp_rest,ndw,corrected_ttr,lv,corrected_vv,vvii,nv,adjv,advv,modv,der_level3,der_level4,der_level5,der_level6,mci,freq_finite_forms,freq_aux,num_inf,num_gerunds,num_pres_sing,num_pres_plur,num_past_part,num_past_simple,num_linkings,num_4grams,num_func_ngrams,num_shell_noun,num_misspelled_tokens,million_mistake,class,sum_punct
4.57,7,3,2,2,2,7,143,5.71,20.43,11,8,3,4,5,5,5,0,2,15.33,16.54,22.07,21.0,0.44,0.11,0.34,0.73,0.1,0.05,0.12,82,4.85,0.57,2.23,0.21,0.17,0.11,0.11,0.22,0.1,0.03,0.08,0.03,2.25,0.06,0.65,14,0,1,0,3,4,8,2,0,0,1,0,6,1
5.18,9,3,2,4,8,11,311,11.73,28.27,27,12,15,10,16,17,25,1,1,21.5,22.3,29.83,29.7,0.5,0.12,0.25,0.74,0.1,0.03,0.13,120,4.81,0.39,2.22,0.12,0.16,0.08,0.04,0.12,0.01,0.11,0.08,0.0,3.25,0.52,0.42,12,3,7,0,3,1,14,12,3,2,2,0,6,2
3.27,4,2,0,0,4,11,230,6.36,20.91,17,14,3,2,13,20,8,1,0,18.3,20.09,24.35,22.1,0.34,0.1,0.39,0.63,0.05,0.06,0.26,101,4.71,0.44,2.35,0.15,0.1,0.18,0.08,0.25,0.07,0.2,0.1,0.07,3.5,0.46,1.0,3,1,15,0,5,0,9,5,0,1,0,0,6,1
3.53,6,1,3,4,4,15,233,4.8,15.53,25,17,8,1,13,11,18,2,0,13.86,14.83,19.06,17.79,0.51,0.14,0.16,0.64,0.05,0.02,0.29,120,5.56,0.52,2.21,0.12,0.14,0.16,0.07,0.23,0.02,0.02,0.02,0.02,3.5,0.75,0.5,1,0,12,1,3,6,13,2,0,0,8,0,6,2
6.14,8,5,2,6,4,7,217,9.57,31.0,22,11,11,6,17,12,9,1,2,25.17,23.85,31.28,32.33,0.39,0.13,0.32,0.72,0.09,0.03,0.16,108,5.18,0.5,2.43,0.18,0.14,0.12,0.08,0.2,0.06,0.06,0.04,0.02,5.5,0.53,0.63,2,2,14,0,5,4,4,1,0,1,4,0,6,0
3.17,4,2,1,1,0,12,190,6.58,15.83,15,14,1,5,7,9,9,1,0,14.82,15.2,17.96,17.27,0.36,0.13,0.41,0.59,0.05,0.02,0.34,86,4.41,0.45,2.04,0.15,0.11,0.13,0.18,0.31,0.03,0.15,0.0,0.06,3.25,0.25,1.0,3,1,9,0,5,1,10,7,0,1,6,0,6,0
4.43,7,3,3,0,2,14,271,4.07,19.36,15,13,2,12,23,20,12,4,0,16.46,17.72,23.08,21.31,0.38,0.21,0.63,0.61,0.05,0.02,0.32,96,4.12,0.35,2.53,0.16,0.09,0.1,0.03,0.13,0.0,0.02,0.02,0.0,3.25,0.55,0.25,2,1,4,0,6,11,8,2,0,0,3,6,6,0
4.45,7,2,1,0,1,11,205,3.55,18.64,14,13,1,4,20,11,13,0,0,15.2,14.88,18.35,18.8,0.45,0.21,0.0,0.61,0.07,0.01,0.31,71,3.51,0.35,1.22,0.07,0.08,0.09,0.12,0.21,0.04,0.19,0.07,0.07,0.75,0.58,0.58,5,0,4,0,0,1,17,5,1,0,1,0,6,0
5.29,9,4,6,0,11,7,244,5.86,34.86,25,14,11,4,9,19,12,5,3,31.33,29.36,35.23,37.0,0.39,0.15,0.15,0.66,0.11,0.02,0.2,90,4.07,0.37,2.41,0.17,0.09,0.11,0.11,0.21,0.02,0.05,0.0,0.09,4.25,0.27,1.14,11,1,6,0,9,3,16,7,2,0,2,1,6,0
3.08,6,0,1,3,7,13,242,7.31,18.62,29,17,12,2,7,10,10,1,0,16.83,16.77,22.04,22.33,0.43,0.16,0.41,0.71,0.1,0.05,0.14,123,5.59,0.51,3.13,0.22,0.14,0.1,0.13,0.23,0.03,0.06,0.05,0.05,4.25,0.48,0.74,12,2,5,0,3,4,10,8,3,3,3,0,6,2
7.0,12,2,5,11,11,14,385,5.36,27.5,37,16,21,12,17,21,22,2,5,25.54,24.4,30.98,32.85,0.48,0.15,0.91,0.76,0.08,0.03,0.14,156,5.62,0.41,3.54,0.19,0.1,0.13,0.1,0.22,0.01,0.08,0.09,0.03,2.75,0.53,0.27,17,2,9,0,5,6,18,9,2,1,8,0,6,3
4.47,9,0,2,6,11,15,372,6.73,24.8,46,27,19,3,16,13,19,0,3,21.0,19.96,25.59,26.86,0.44,0.1,0.56,0.71,0.15,0.03,0.12,145,5.32,0.39,3.13,0.17,0.1,0.09,0.14,0.23,0.01,0.12,0.18,0.11,2.5,0.42,0.98,26,3,10,0,4,9,15,11,3,4,1,0,6,1
4.73,11,2,4,5,3,15,300,8.2,20.0,30,21,9,11,18,8,23,0,3,18.79,17.96,23.01,23.64,0.47,0.21,0.28,0.65,0.11,0.03,0.21,136,5.55,0.45,2.4,0.12,0.14,0.19,0.11,0.3,0.03,0.23,0.23,0.03,2.25,0.32,0.92,13,5,16,0,0,6,9,10,2,5,2,0,6,1
4.7,9,2,3,0,0,10,197,5.7,19.7,12,12,0,8,16,7,10,3,0,16.22,17.27,21.01,19.78,0.3,0.2,0.45,0.52,0.05,0.06,0.37,85,4.28,0.43,2.01,0.15,0.09,0.17,0.12,0.28,0.0,0.21,0.11,0.08,3.75,0.4,0.8,0,1,11,0,4,0,7,0,0,1,5,0,6,0
5.29,10,3,8,3,8,17,387,7.59,22.76,32,23,9,14,17,23,25,6,3,18.44,18.71,25.42,25.12,0.47,0.1,0.35,0.74,0.1,0.03,0.13,190,6.83,0.49,3.77,0.18,0.18,0.16,0.1,0.26,0.04,0.05,0.07,0.05,6.25,0.19,0.83,14,6,14,0,12,8,19,12,2,6,4,0,6,0
5.58,13,2,6,4,7,12,302,6.0,25.17,36,24,12,10,15,10,15,2,2,21.18,20.17,26.36,27.18,0.47,0.21,0.23,0.69,0.12,0.01,0.18,134,5.45,0.44,3.02,0.18,0.13,0.1,0.11,0.21,0.05,0.14,0.13,0.01,2.75,0.54,0.51,12,5,9,0,3,4,18,27,5,3,0,0,6,0
4.0,6,3,3,1,3,10,175,5.8,17.5,10,8,2,4,10,9,10,1,1,12.33,13.14,16.9,16.22,0.41,0.06,0.0,0.6,0.12,0.06,0.22,85,4.54,0.49,1.89,0.14,0.11,0.15,0.08,0.24,0.05,0.15,0.04,0.04,3.75,0.5,0.21,4,1,2,0,2,7,7,5,1,1,2,0,6,1
4.43,7,3,2,0,2,7,180,4.71,25.71,10,8,2,4,9,14,6,0,0,20.67,21.19,26.43,26.0,0.33,0.19,0.34,0.63,0.03,0.02,0.33,81,4.27,0.45,2.23,0.22,0.09,0.08,0.08,0.17,0.06,0.06,0.0,0.06,4.5,0.18,0.47,5,4,5,0,6,0,4,1,0,0,9,0,6,0
3.4,5,2,2,2,0,10,171,4.4,17.1,16,14,2,3,10,21,3,2,2,14.11,15.09,19.71,19.22,0.33,0.11,0.0,0.58,0.09,0.07,0.26,73,3.95,0.43,1.67,0.18,0.09,0.11,0.05,0.16,0.0,0.03,0.0,0.0,3.25,0.72,0.17,3,0,1,0,2,14,3,4,0,1,6,0,6,0
4.67,7,2,5,2,6,15,327,6.8,21.8,25,17,8,10,22,20,17,6,2,16.57,17.39,23.97,22.93,0.49,0.14,0.49,0.63,0.11,0.05,0.21,155,6.06,0.47,3.45,0.18,0.19,0.11,0.09,0.19,0.07,0.11,0.07,0.01,3.25,0.27,0.64,13,1,6,0,12,6,11,6,1,5,1,0,6,3
4.06,9,2,3,5,3,18,287,4.17,15.94,37,30,7,10,16,9,15,3,4,12.29,13.91,18.06,16.53,0.44,0.16,0.44,0.69,0.08,0.02,0.21,120,5.01,0.42,3.42,0.25,0.13,0.09,0.05,0.14,0.01,0.08,0.08,0.01,3.5,0.44,0.56,16,2,6,0,9,10,7,6,1,2,2,0,6,1
5.14,8,3,8,1,6,7,232,5.0,33.14,20,13,7,6,14,21,7,6,0,31.83,29.68,38.3,39.5,0.42,0.2,0.41,0.64,0.04,0.04,0.28,103,4.78,0.44,2.18,0.16,0.11,0.09,0.09,0.19,0.07,0.05,0.07,0.05,2.75,0.3,0.44,3,3,11,0,12,5,10,4,1,0,5,0,6,1
5.29,8,3,5,3,0,7,142,8.43,20.29,10,8,2,3,15,12,10,8,0,15.17,15.47,21.03,20.5,0.47,0.13,0.19,0.58,0.14,0.11,0.16,64,3.8,0.45,1.51,0.12,0.17,0.15,0.06,0.21,0.02,0.07,0.02,0.04,1.5,0.14,0.57,0,0,2,0,12,1,7,6,1,0,1,0,6,0
